Subject,Start Date,Start Time,End Date,All Day Event,Description,Location,Private
"Ice Cream Raffle - Win a years supply of Marshfield Farm ice cream",12/13/2023,10:00 AM,01/02/2024,False,"Enter our raffle and you could be in with the chance to win a year's supply of their delicious ice cream delivered direct to your home.\nPrice: ['Raffle Ticket �1']\nDetails: https://cornexchangenew.com/event/ice-cream-raffle-2023 \n\nRecorded at 2023-12-31 17:05:32.090760","Not Stated",False
"Wish (PG)",12/16/2023,11:00 AM,01/03/2024,False,"A young girl named Asha wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.\nPrice: ['Full Price �7.80 - �9.80', 'Concessions Price �6.30 - �8.30', 'Special Screenings �6.30                    (including booking fees)']\nDetails: https://cornexchangenew.com/event/wish-pg \n\nRecorded at 2023-12-31 17:05:33.161830","Corn Exchange Cinema",False
"Trolls Band Together (U)",12/08/2023,2:30 PM,01/03/2024,False,"Get ready for an action-packed, all-star, rainbow-colored family reunion like no other for the new chapter in DreamWorks Animation�s blockbuster musical franchise!\nPrice: ['Full Price �9.80', 'CONCESSIONS PRICE �8.30 - �6.30                     (including booking fees)']\nDetails: https://cornexchangenew.com/event/trolls-band-together \n\nRecorded at 2023-12-31 17:05:33.823818","Corn Exchange Cinema",False
"Anselm (PG)",12/31/2023,5:45 PM,01/03/2024,False,"An experience like no other, renowned director Wim Wenders creates an expressive portrait of one of the world�s most prominent and important contemporary artists, Anselm Kiefer.\nPrice: ['Full Price �7.80 - �9.80', 'Concessions Price �6.30 - �8.30', 'Special Screening �6.30                    (including booking fees)']\nDetails: https://cornexchangenew.com/event/anselm-pg \n\nRecorded at 2023-12-31 17:05:35.627244","Corn Exchange Cinema",False
"Dementia Friendly: Calamity Jane (U)",01/03/2024,11:00 AM,01/03/2024,False,"Calamity Jane is as hard-riding, boastful, and handy with a gun as any. Follow her misadventures in love. \nPrice: ['Full Price �6.30 (Including Booking Fee)']\nDetails: https://cornexchangenew.com/event/dementia-friendly-screening-calamity-jane \n\nRecorded at 2023-12-31 17:05:36.199759","Corn Exchange Cinema",False
"Fallen Leaves (12A)",12/30/2023,2:30 PM,01/04/2024,False,"A timeless, hopeful and satisfying love story that won the Jury Prize at the 2023 Cannes Film Festival.\nPrice: ['Full Price �9.80', 'Concessions Price �8.30', 'Special Screenings �6.30                    (including booking fees)']\nDetails: https://cornexchangenew.com/event/fallen-leaves-12a \n\nRecorded at 2023-12-31 17:05:36.781643","Corn Exchange Cinema",False
"Dream Scenario (15)",12/29/2023,8:00 PM,01/04/2024,False,"When dreams become reality...\nPrice: ['Full Price �9.80', 'Concessions Price �8.30 (including booking fees)']\nDetails: https://cornexchangenew.com/event/dream-scenario-15 \n\nRecorded at 2023-12-31 17:05:37.364798","Corn Exchange Cinema",False
"Family Film: Super Mario Bros Movie (PG)",01/04/2024,10:30 AM,01/04/2024,False,"Based on the world of Super Mario Bros, watch Mario and Luigi on their journey through the Mushroom Kingdom.\nPrice: ['Full Price �3.50 (including booking fee)']\nDetails: https://cornexchangenew.com/event/family-film-and-craft-super-mario-bros-pg \n\nRecorded at 2023-12-31 17:05:37.957860","Corn Exchange Cinema",False
"Wonka (PG)",12/22/2023,10:15 AM,01/07/2024,False,"Starring Golden Globes nominee Timoth�e Chalamet, enjoy this film about the Roald Dahl character we all know and love! \nPrice: ['Full Price �9.80', 'Concessions Price �8.30', 'Special Screening �6.30                    (Including Booking Fees)']\nDetails: https://cornexchangenew.com/event/wonka \n\nRecorded at 2023-12-31 17:05:38.522046","Corn Exchange Cinema",False
"Parent & Babies: Legally Blonde (12)",01/07/2024,10:15 AM,01/07/2024,False,"To win back her Harvard-bound former beau, valley girl Elle Woods enrolls at the university's law school.\nPrice: ['Full Price �6.30 (including booking fee)']\nDetails: https://cornexchangenew.com/event/legally-blonde-12a \n\nRecorded at 2023-12-31 17:05:39.077962","Corn Exchange Cinema",False
